SN,gender,age,edu,nos,years,VAR00003,position,eng1,eng2,eng3,eng4,eng5,eng6,eng7,eng8,eng9,os1,os2,os3,os4,os5,os6,os7,os8,os9,tdo1,tdo2,tdo3,tdo4,tdo5,tdo6,tdo7,tdo8,tdo9,tdo10,tdo11,tdo12,tdo13,tdo14,tdo15,tdo16,tdo17,tdo18,tdo19,tdo20,tdo21,tdo22,bot1,bot2,bot3,bot4,bot5,bot6,bot7,bot8,bot9,bot10,ocb1,ocb2,ocb3,ocb4,ocb5,ocb6,ocb7,ocb8,ocb9,ocb10,ocb11,ocb12,ocb13,ocb14,ocb15,ocb16,ocb17,ocb18,ocb19,ocb20,fcms1,fcms2,fcms3,fcms4,fcms5,fcms6,Engmt,Orgs,Orgstd,opscg,suptss,suptmg,jrcbt,pbot,cms,fcmst,tdop,bot,alt,spst,cout,cvcv,cons,OCB,nedu,nage,ninvl,nyrs
41,1,5,5,6,3,1,officer,5,6,5,6,4,3,5,4,4,5,4,7,5,5,5,5,5,3,3,5,4,3,4,3,5,5,5,5,5,5,4,3,5,5,5,3,5,5,3,5,4,4,4,5,5,4,4,4,4,5,7,7,6,6,6,6,6,6,6,6,7,7,7,7,7,7,6,6,6,6,4,3,5,4,4,4,42,44,9,10,22,38,21,12,10,20,79,43,14,30,21,21,24,110,2,3,2,2
42,1,3,4,2,1,1,officer,5,6,6,5,7,6,5,5,6,5,4,5,5,4,5,3,4,3,5,6,6,5,3,5,6,5,6,5,4,2,5,6,5,5,4,5,5,4,5,6,4,4,3,5,3,2,4,5,5,5,7,7,5,5,5,5,6,6,5,6,6,7,7,7,7,7,5,5,5,5,4,3,4,1,4,3,51,38,12,13,26,37,18,12,10,15,88,40,14,25,21,20,20,100,1,1,1,1
43,1,4,5,14,12,1,officer,6,5,5,5,5,5,5,5,6,5,6,6,5,6,6,5,5,5,6,6,3,4,5,6,6,5,5,5,6,6,6,6,6,6,5,5,4,4,4,5,4,4,4,4,4,5,6,6,1,1,1,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,47,49,9,15,27,42,25,9,5,20,93,39,8,30,18,18,24,98,2,2,3,3
44,1,3,5,4,2,2,assistant officer,6,5,7,7,6,6,7,5,6,3,3,2,2,6,3,2,3,6,3,2,3,5,4,4,5,4,4,5,5,3,4,4,4,4,6,5,5,5,5,4,4,4,4,4,4,4,4,3,4,2,7,7,5,5,5,5,5,5,5,4,3,4,4,4,4,4,6,6,6,6,5,4,4,5,5,5,55,30,5,13,23,34,19,12,6,23,75,37,14,25,12,11,24,86,2,1,1,2
45,1,3,5,4,2,3,operation incharge,4,6,7,5,3,5,7,5,4,6,2,3,5,6,2,1,5,6,6,6,5,1,7,6,5,2,3,5,4,6,3,2,6,5,3,3,6,5,3,2,5,1,1,5,4,4,2,4,3,2,7,7,3,3,3,3,6,6,3,7,7,5,5,5,7,7,1,1,1,1,3,2,4,3,4,2,46,36,11,14,15,35,19,5,7,14,75,31,14,15,15,21,4,69,2,1,1,2
46,1,4,5,6,2,1,junior officer,4,6,7,6,7,6,7,5,2,6,5,4,5,6,5,6,7,5,6,5,4,7,4,5,5,6,5,7,4,6,6,5,6,5,5,4,3,3,4,4,4,4,5,6,7,5,4,5,6,7,4,6,7,7,7,7,6,6,7,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,50,49,9,16,27,39,25,15,13,20,91,53,10,35,18,18,24,105,2,2,2,2
47,1,6,4,8,4,2,assistant manager,4,5,7,5,7,7,7,6,4,7,4,5,5,5,5,5,6,5,5,5,5,2,2,6,6,5,5,5,5,5,7,6,5,4,5,3,3,7,5,5,4,4,4,4,3,3,3,3,4,5,7,7,5,5,5,5,7,7,5,7,6,7,7,7,7,7,7,7,7,7,4,3,3,3,3,3,52,47,10,10,28,37,16,12,9,16,85,37,14,25,21,20,28,108,1,3,2,2
48,1,4,3,2,1,1,junior officer,4,7,7,7,7,7,7,7,4,1,6,3,4,1,3,1,5,4,3,5,5,2,1,5,5,6,5,3,1,4,5,3,1,4,1,1,4,1,7,1,4,5,1,1,5,5,1,5,5,1,4,4,7,7,7,7,6,6,7,4,7,1,1,1,6,6,7,7,7,7,2,2,3,1,1,1,57,28,10,8,13,32,20,11,2,9,63,33,8,35,3,19,28,93,1,2,1,1
49,1,3,5,2,2,1,junior officer,7,7,4,7,4,6,7,5,5,6,5,7,5,5,4,5,6,4,3,5,4,6,3,7,5,7,6,5,7,3,7,5,6,5,6,6,7,5,4,5,4,3,4,4,3,4,4,5,5,7,3,3,6,6,6,6,7,7,6,6,4,6,6,6,3,3,6,6,6,6,3,4,4,3,4,4,52,47,9,16,28,45,20,12,11,18,98,43,6,30,18,10,24,88,2,1,1,2
50,1,3,5,7,2,1,credit officer,5,5,5,5,5,6,6,6,6,5,5,6,5,5,5,5,4,5,4,4,5,2,2,5,5,5,5,5,5,4,6,6,6,5,5,5,5,5,4,2,4,4,3,4,4,4,4,5,5,5,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,4,4,4,4,49,45,9,9,24,39,21,12,9,16,81,42,12,35,21,21,28,117,2,1,2,2
